Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	5449	14005	76874	14954	1954	2024
41	Aqua	BCE5DC	Solid	82	60	1445	137	1998	2006
11	Black	212121	Solid	12839	13353	18347	13237	1957	2024
7	Blue	0057A6	Solid	4234	8749	7866	4701	1950	2024
97	Blue-Violet	506CEF	Solid	38	19	980	59	2004	2005
36	Bright Green	10CB31	Solid	788	2347	2716	878	1950	2024
105	Bright Light Blue	BCD1ED	Solid	561	723	2404	625	2004	2024
110	Bright Light Orange	FFC700	Solid	1394	2083	3138	1461	2003	2024
103	Bright Light Yellow	FFF08C	Solid	575	1091	2405	624	2004	2024
104	Bright Pink	F7BCDA	Solid	686	1512	1779	751	2003	2024
8	Brown	6B3F22	Solid	579	1100	3714	945	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	580	15	2005	2005
220	Coral	FF8172	Solid	250	433	862	264	2019	2024
153	Dark Azure	009FE0	Solid	865	1237	2149	910	2011	2024
63	Dark Blue	243757	Solid	2519	2457	4894	2627	1961	2024
109	Dark Blue-Violet	2032B0	Solid	8	6	1182	20	2004	2006
85	Dark Bluish Gray	595D60	Solid	4256	7207	8451	4772	1991	2024
120	Dark Brown	50372F	Solid	842	1957	3120	926	2007	2024
10	Dark Gray	6B5A5A	Solid	1053	1706	4330	1523	1961	2006
80	Dark Green	2E5543	Solid	978	1258	3335	1078	1961	2024
225	Dark Nougat	CE7942	Solid	3	10	963	52	2001	2004
242	Dark Olive Green	76753F	Solid			224	9		
68	Dark Orange	B35408	Solid	870	2044	2531	924	1994	2024
47	Dark Pink	EF5BB3	Solid	827	1467	1750	898	1994	2024
89	Dark Purple	5F2683	Solid	1109	1448	2454	1212	2003	2024
59	Dark Red	6A0E15	Solid	1873	2081	4399	1953	1957	2024
231	Dark Salmon	FF6326	Solid	5	4	156	9	2003	2003
69	Dark Tan	B89869	Solid	1260	2764	3426	1319	1961	2024
39	Dark Turquoise	00A29F	Solid	791	1054	1982	861	1998	2024
161	Dark Yellow	DD982E	Solid	5	5	764	26	2004	2005
29	Earth Orange	E6881D	Solid	44	88	1056	55	1982	2005
106	Fabuland Brown	B3694E	Solid	7	26	1465	12	1979	1991
248	Fabuland Lime	ADD237	Solid	9	5	277	12	1982	1986
160	Fabuland Orange	EF9121	Solid	2	3	506	4	1983	1987
6	Green	00923D	Solid	2172	5700	5058	2488	1949	2024
154	Lavender	D3BDE3	Solid	418	616	1003	464	2011	2024
152	Light Aqua	CFEFEA	Solid	561	740	1111	585	2011	2024
62	Light Blue	C8D9E1	Solid	19	18	897	84	1950	2007
86	Light Bluish Gray	AFB5C7	Solid	4930	7840	9090	5508	1993	2024
91	Light Brown	99663E	Solid	42	30	1844	92	2002	2006
9	Light Gray	9C9C9C	Solid	1865	3205	6042	2509	1954	2008
38	Light Green	D7EED1	Solid	64	57	646	126	1992	2005
246	Light Lilac	CDCCEE	Solid	1	1	39		2004	2004
35	Light Lime	ECEEBD	Solid	20	16	519	47	1992	2007
90	Light Nougat	FECCB0	Solid	1995	1918	3589	2012	2004	2024
32	Light Orange	FFBC36	Solid	18	18	547	69	1998	2004
56	Light Pink	F2D3D1	Solid	1	1	547	62	2007	2007
93	Light Purple	AF3195	Solid	27	20	644	54	2003	2006
26	Light Salmon	FCC7B7	Solid	51	23	461	56	1997	2002
40	Light Turquoise	00C5BC	Solid	59	40	812	86	1998	2004
44	Light Violet	C9CAE2	Solid	69	38	369	84	1994	2002
33	Light Yellow	FEE89F	Solid	102	70	1250	167	1994	2005
245	Lilac	7862CE	Solid	6	6	373	9	2004	2005
34	Lime	C4E000	Solid	1891	2998	3130	2055	1998	2024
247	Little Robots Blue	5DBFE4	Solid	2	2	44		2003	2004
72	Maersk Blue	7DC1D8	Solid	84	14	697	102	1974	2011
71	Magenta	B72276	Solid	663	1193	1623	722	2000	2024
156	Medium Azure	6ACEE0	Solid	994	1806	2094	1061	2012	2024
42	Medium Blue	82ADD8	Solid	905	1214	2241	1019	1949	2024
240	Medium Brown	A16C42	Solid	66	64	1042	62	2022	2024
94	Medium Dark Pink	F785B1	Solid	14	6	511	50	1992	1993
37	Medium Green	91DF8C	Solid	124	105	747	141	1950	2004
157	Medium Lavender	C689D9	Solid	566	852	1136	583	2012	2024
76	Medium Lime	DFE000	Solid	67	42	708	76	1998	2005
150	Medium Nougat	E3A05B	Solid	1236	1992	2538	1291	2010	2024
31	Medium Orange	FFA531	Solid	129	112	1089	176	1950	2007
241	Medium Tan	FBC685	Solid	112	75	1072	111	2022	2024
73	Medium Violet	9391E4	Solid	16	22	449	22	1999	2004
166	Neon Green	DBF355	Solid			404	10		
165	Neon Orange	FA5947	Solid			465	9		
236	Neon Yellow	FFFC00	Solid	143	104	506	150	2022	2024
28	Nougat	FFAF7D	Solid	348	405	1565	415	1979	2024
155	Olive Green	ABA953	Solid	640	587	2247	690	2012	2024
4	Orange	FF7E14	Solid	2297	3941	4493	2492	1998	2024
23	Pink	F5CDD6	Solid	121	78	1085	222	1991	2005
24	Purple	7A238D	Solid	134	125	1532	254	1997	2006
5	Red	B30006	Solid	8325	11224	13323	8799	1949	2024
88	Reddish Brown	82422A	Solid	2381	4952	4813	2618	1961	2024
167	Reddish Orange	FF5500	Solid	74	65	483	68	2024	2024
27	Rust	B24817	Solid	11	23	1748	34	1979	2005
25	Salmon	FF7D5D	Solid	84	27	543	94	1997	1999
55	Sand Blue	8899AB	Solid	766	801	2190	814	2001	2024
48	Sand Green	A2BFA3	Solid	738	904	2108	793	1957	2024
54	Sand Purple	B57DA5	Solid	20	5	458	26	2001	2002
58	Sand Red	C58D80	Solid	39	18	533	44	2001	2004
169	Sienna	EA8339	Solid	9	6	29	7	2024	2024
87	Sky Blue	8AD4E1	Solid	37	33	906	49	2003	2007
2	Tan	EED9A4	Solid	2756	5413	5879	3035	1957	2024
168	Umber	735442	Solid	1	1	47	1	2024	2024
99	Very Light Bluish Gray	E4E8E8	Solid	53	49	1897	106	2004	2013
49	Very Light Gray	E8E8E8	Solid	21	24	1510	61	1997	2004
96	Very Light Orange	FFDCA4	Solid	1	2	541	23	2000	2000
43	Violet	3448A4	Solid	79	42	619	106	1992	2005
1	White	FFFFFF	Solid	15681	11549	23154	15978	1949	2024
3	Yellow	FFE001	Solid	7060	10944	11276	8051	1949	2024
158	Yellowish Green	E7F2A7	Solid	255	409	654	274	2012	2024
113	Trans-Aqua	B7C8BF	Transparent	39	36	512	54	2003	2006
251	Trans-Black (2023)	777777	Transparent	47	42	498	63	2023	2024
108	Trans-Bright Green	10Cb31	Transparent	191	598	750	221	2006	2024
13	Trans-Brown (Old Trans-Black)	939484	Transparent	484	1843	1317	545	1999	2024
12	Trans-Clear	EEEEEE	Transparent	1109	5575	3249	1331	1950	2024
14	Trans-Dark Blue	00296B	Transparent	275	1815	1171	333	1978	2024
50	Trans-Dark Pink	CE1d9b	Transparent	248	830	697	268	1999	2024
20	Trans-Green	217625	Transparent	143	1562	696	185	1969	2024
15	Trans-Light Blue	68BCC5	Transparent	903	3276	2003	1027	1985	2024
226	Trans-Light Bright Green	71EB54	Transparent	26	17	215	49	2003	2006
221	Trans-Light Green	94E5AB	Transparent	10	5	253	22	2005	2006
164	Trans-Light Orange	E99A3A	Transparent	42	22	424	89	2003	2006
114	Trans-Light Purple	B97AB1	Transparent	20	20	273	30	2005	2006
74	Trans-Medium Blue	76A3C8	Transparent	98	203	1067	155	2001	2018
234	Trans-Medium Purple	9C41B6	Transparent	37	35	171	45	2003	2006
16	Trans-Neon Green	C0F500	Transparent	235	1143	865	294	1990	2024
18	Trans-Neon Orange	FF4231	Transparent	245	1039	1023	316	1993	2023
121	Trans-Neon Yellow	FFD700	Transparent	28	36	502	70	2001	2006
98	Trans-Orange	E96F01	Transparent	241	2326	828	302	2003	2024
107	Trans-Pink	FF8298	Transparent	68	44	325	91	2003	2006
51	Trans-Purple	5525B7	Transparent	160	439	616	182	2000	2024
17	Trans-Red	9C0010	Transparent	248	4005	1225	306	1969	2024
19	Trans-Yellow	EBF72D	Transparent	237	2722	997	298	1969	2024
57	Chrome Antique Brass	645a4c	Chrome	3	17	504	3	2001	2005
122	Chrome Black	544E4F	Chrome	11	1	1115	12	2009	2009
52	Chrome Blue	5C66A4	Chrome	5	14	382	10	1998	2006
21	Chrome Gold	f1f2e1	Chrome	51	294	1686	56	1989	2024
64	Chrome Green	3CB371	Chrome	1	2	349	5	1999	1999
82	Chrome Pink	aa4d8e	Chrome	1	10	290	6	2001	2007
22	Chrome Silver	DCDCDC	Chrome	104	522	2197	177	1966	2024
237	Bionicle Copper	985750	Pearl	2	1	125	2	2001	2001
238	Bionicle Gold	B9752F	Pearl	6	2	216	9	2002	2002
239	Bionicle Silver	A59287	Pearl	6	2	447	6	2002	2002
84	Copper	AC6D52	Pearl	11	23	837	44	2004	2008
81	Flat Dark Gold	AD7118	Pearl	50	47	867	152	2002	2006
95	Flat Silver	8D949C	Pearl	854	3061	3091	1165	2008	2024
244	Pearl Black	282725	Pearl	5	8	1009	12	2003	2006
254	Pearl Blue	3977C7	Pearl	4	8	156	10	2003	2009
255	Pearl Brown	815542	Pearl	3	6	27	3	2003	2006
77	Pearl Dark Gray	666660	Pearl	822	1314	2818	900	2000	2024
115	Pearl Gold	E79E1D	Pearl	1249	2723	2926	1343	2004	2024
253	Pearl Green	13A452	Pearl	3	6	71	5	2003	2006
61	Pearl Light Gold	E7AE5A	Pearl	13	7	536	64	2000	2005
66	Pearl Light Gray	ACB7C0	Pearl	504	764	1648	641	2000	2011
252	Pearl Red	E54952	Pearl	3	6	322	3	2003	2006
78	Pearl Sand Blue	868FAA	Pearl	44	23	412	47	2002	2005
243	Pearl Sand Purple	B5A1BA	Pearl			24			
119	Pearl Very Light Gray	D4D2CD	Pearl	21	16	468	46	2002	2004
83	Pearl White	FFFFFF	Pearl	3	6	527	13	2003	2006
249	Reddish Copper	D06926	Pearl	21	20	62	24	2017	2020
235	Reddish Gold	E7891B	Pearl	28	28	267	28	2003	2005
233	Satin Trans-Bright Green	7fe15b	Satin	11	12	134	12	2021	2024
229	Satin Trans-Brown	939484	Satin	7	12	139	7	2020	2023
228	Satin Trans-Clear	FFFFFF	Satin	17	70	202	20	2020	2024
232	Satin Trans-Dark Blue	1552e2	Satin	15	32	157	19	2021	2024
224	Satin Trans-Dark Pink	CE1d9b	Satin	15	43	129	14	2020	2024
223	Satin Trans-Light Blue	68BCC5	Satin	49	107	227	54	2020	2024
230	Satin Trans-Purple	8320B7	Satin	19	45	152	21	2020	2024
170	Satin Trans-Yellow	EBF72D	Satin	2	3	9	2	2024	2024
250	Metallic Copper	C58259	Metallic	6	14	256	6	2007	2012
65	Metallic Gold	B8860B	Metallic	119	333	1360	206	1997	2024
70	Metallic Green	bdb573	Metallic	31	9	470	36	2001	2003
67	Metallic Silver	C0C0C0	Metallic	209	770	2349	284	1957	2024
46	Glow In Dark Opaque	d4d5c9	Milky	89	89	544	108	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	17	23	358	21	2005	2011
159	Glow In Dark White	d9d9d9	Milky	81	103	807	94	2011	2024
60	Milky White	d4d3dd	Milky	26	144	670	60	1963	2008
101	Glitter Trans-Clear	b2adaa	Glitter	16	33	190	19	1999	2023
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	40	168	16	1999	2024
162	Glitter Trans-Light Blue	68BCC5	Glitter	17	28	182	25	2015	2024
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	157	2	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	136	1	2020	2020
102	Glitter Trans-Purple	3A2B82	Glitter	16	66	208	18	2000	2024
116	Speckle Black-Copper	5F4E47	Speckle	5	3	217	5	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	238	6	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	49	305	19	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	250	8	2006	2006
142	Mx Aqua Green	27867E	Modulex			27	9		
128	Mx Black	000000	Modulex			313	231		
132	Mx Brown	907450	Modulex			32	26		
133	Mx Buff	DEC69C	Modulex			42	33		
126	Mx Charcoal Gray	595D60	Modulex			17	5		
149	Mx Clear	FFFFFF	Modulex			56	25		
214	Mx Foil Dark Blue	0057A6	Modulex			3	1		
210	Mx Foil Dark Gray	595D60	Modulex			3	1		
212	Mx Foil Dark Green	006400	Modulex			3	1		
215	Mx Foil Light Blue	68AECE	Modulex			3	1		
211	Mx Foil Light Gray	9C9C9C	Modulex			5			
213	Mx Foil Light Green	7DB538	Modulex			3	1		
219	Mx Foil Orange	F7AD63	Modulex			3	1		
217	Mx Foil Red	8B0000	Modulex			3	1		
216	Mx Foil Violet	4B0082	Modulex			3			
218	Mx Foil Yellow	FED557	Modulex			3			
139	Mx Lemon	BDC618	Modulex			22	22		
124	Mx Light Bluish Gray	AfB5C7	Modulex			24	6		
125	Mx Light Gray	9C9C9C	Modulex			63	59		
136	Mx Light Orange	F7AD63	Modulex			18	7		
137	Mx Light Yellow	FFE371	Modulex			22	14		
144	Mx Medium Blue	61AFFF	Modulex			20	9		
138	Mx Ochre Yellow	FED557	Modulex			20	16		
140	Mx Olive Green	7C9051	Modulex			22	22		
135	Mx Orange	F47B30	Modulex			28	25		
145	Mx Pastel Blue	68AECE	Modulex			27	23		
141	Mx Pastel Green	7DB538	Modulex			30	28		
148	Mx Pink	F785B1	Modulex			23	19		
130	Mx Pink Red	F45C40	Modulex			16	5		
129	Mx Red	B52C20	Modulex			29	26		
146	Mx Teal Blue	467083	Modulex			17	13		
134	Mx Terracotta	5C5030	Modulex			32	27		
143	Mx Tile Blue	0057A6	Modulex			137	55		
131	Mx Tile Brown	330000	Modulex			218	1		
127	Mx Tile Gray	6B5A5A	Modulex			227			
147	Mx Violet	BD7D85	Modulex			22	9		
123	Mx White	FFFFFF	Modulex			759	498		
